epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8098,0.9806,1.87121,1.17186,0.84684,0.64008,0.78998,0.58698,0.91426,1.24926,1.04692,0.00047184,0.00047184,0.00047184
2,63.3074,1.05289,1.2242,1.1786,0.76453,0.71359,0.754,0.52853,1.07756,1.55209,1.22226,0.000938786,0.000938786,0.000938786
3,95.0761,1.1423,1.19422,1.23261,0.73985,0.65438,0.73689,0.54435,1.01667,1.86024,1.13292,0.0013963,0.0013963,0.0013963
4,127.292,1.13937,1.19788,1.22324,0.77202,0.78513,0.79805,0.57426,1.01777,1.20087,1.13663,0.00138656,0.00138656,0.00138656
5,158.087,1.04958,1.06349,1.16617,0.90124,0.67385,0.82911,0.62343,0.91647,0.97817,1.07411,0.00137241,0.00137241,0.00137241
6,188.349,0.99451,0.99079,1.12761,0.83546,0.83933,0.86249,0.66589,0.79921,0.92439,0.995,0.00135826,0.00135826,0.00135826
7,219.076,0.99756,0.95676,1.15048,0.88627,0.78253,0.85798,0.65332,0.89053,0.92852,1.04263,0.00134412,0.00134412,0.00134412
8,249.561,0.95822,0.91554,1.1128,0.91727,0.77402,0.87072,0.68463,0.81272,0.85125,1.04252,0.00132997,0.00132997,0.00132997
9,281.024,0.89912,0.86102,1.07554,0.90642,0.82438,0.87787,0.70325,0.77105,0.79,1.00666,0.00131582,0.00131582,0.00131582
10,311.245,0.88585,0.82127,1.06977,0.95066,0.76458,0.86957,0.70099,0.80049,0.82353,1.03621,0.00130168,0.00130168,0.00130168
11,341.71,0.87273,0.82212,1.06834,0.96236,0.79433,0.87546,0.69423,0.80761,0.75278,1.01645,0.00128753,0.00128753,0.00128753
12,372.161,0.84683,0.787,1.06093,0.91277,0.80629,0.88085,0.7299,0.68049,0.69472,0.97632,0.00127338,0.00127338,0.00127338
13,402.52,0.8139,0.74561,1.04634,0.94089,0.78995,0.87042,0.72927,0.67858,0.72167,0.9633,0.00125923,0.00125923,0.00125923
14,434.371,0.83149,0.72497,1.04135,0.9422,0.81466,0.89139,0.73204,0.71209,0.64896,0.986,0.00124509,0.00124509,0.00124509
15,531.019,0.83705,0.72806,1.04997,0.92258,0.81097,0.88719,0.7417,0.67283,0.67982,0.95301,0.00123094,0.00123094,0.00123094
16,564.165,0.7964,0.68507,1.02686,0.93572,0.78562,0.88329,0.72093,0.74783,0.72926,1.00443,0.00121679,0.00121679,0.00121679
17,594.563,0.78944,0.70871,1.03641,0.95333,0.81392,0.89982,0.76561,0.61979,0.62466,0.93153,0.00120265,0.00120265,0.00120265
18,624.792,0.76052,0.66953,1.03207,0.94501,0.78724,0.85623,0.72671,0.65387,0.72002,0.97515,0.0011885,0.0011885,0.0011885
